Size, Seq, Par, Libc
70000, 0.010806, 0.030637, 0.009972
80000, 0.012120, 0.030196, 0.011683
90000, 0.013634, 0.027783, 0.013096
100000, 0.015763, 0.031979, 0.014737
0, 0.000000, 0.000160, 0.000001
10000, 0.001268, 0.018594, 0.001177
20000, 0.002638, 0.030445, 0.002529
30000, 0.004123, 0.028108, 0.003928
40000, 0.005738, 0.025353, 0.005387
50000, 0.007361, 0.025535, 0.006846
60000, 0.008770, 0.032640, 0.008392
70000, 0.010546, 0.031873, 0.010203
80000, 0.012099, 0.033667, 0.011550
90000, 0.013793, 0.034822, 0.013039
100000, 0.015533, 0.026170, 0.014831
0, 0.000001, 0.000175, 0.000000
10000, 0.001290, 0.026754, 0.001178
20000, 0.002684, 0.021830, 0.002519
30000, 0.004288, 0.024673, 0.003937
40000, 0.005773, 0.031948, 0.005374
50000, 0.007483, 0.027206, 0.006938
60000, 0.008767, 0.027990, 0.008597
70000, 0.031667, 0.034874, 0.010143
80000, 0.011969, 0.031969, 0.011491
90000, 0.013879, 0.035565, 0.013101
100000, 0.015761, 0.029769, 0.014696
0, 0.000000, 0.000177, 0.000000
10000, 0.001292, 0.025104, 0.001173
20000, 0.002692, 0.029095, 0.002521
30000, 0.004296, 0.030478, 0.003972
40000, 0.005901, 0.033306, 0.005374
50000, 0.007493, 0.024026, 0.006874
60000, 0.008953, 0.017870, 0.008366
70000, 0.011110, 0.033947, 0.010101
80000, 0.012618, 0.028297, 0.011454
90000, 0.013817, 0.032963, 0.013243
100000, 0.041890, 0.034021, 0.014817
0, 0.000000, 0.000184, 0.000000
10000, 0.005795, 0.089422, 0.002685
20000, 0.012985, 0.078436, 0.006757
30000, 0.020148, 0.098938, 0.005400
40000, 0.005794, 0.027636, 0.005388
50000, 0.009477, 0.045050, 0.008856
60000, 0.011474, 0.033290, 0.010739
70000, 0.013097, 0.040240, 0.012311
80000, 0.012173, 0.034936, 0.011673
90000, 0.013890, 0.030601, 0.013090
100000, 0.025792, 0.033619, 0.014639
0, 0.000000, 0.000178, 0.000000
10000, 0.001269, 0.031271, 0.001168
20000, 0.002666, 0.022870, 0.002524
30000, 0.004197, 0.028878, 0.003987
40000, 0.005936, 0.025256, 0.005431
50000, 0.007562, 0.028142, 0.006855
60000, 0.008980, 0.028714, 0.008380
70000, 0.010395, 0.037583, 0.009984
80000, 0.012183, 0.029029, 0.011509
90000, 0.013861, 0.029727, 0.013177
100000, 0.015770, 0.029404, 0.014585
0, 0.000000, 0.000186, 0.000000
10000, 0.001241, 0.021469, 0.001176
20000, 0.002648, 0.017471, 0.002533
30000, 0.004226, 0.028291, 0.003943
40000, 0.005647, 0.026813, 0.005381
50000, 0.020441, 0.036392, 0.006944
60000, 0.008914, 0.025240, 0.008699
70000, 0.010990, 0.027319, 0.009990
80000, 0.012417, 0.027078, 0.011581
90000, 0.013808, 0.033440, 0.013176
100000, 0.015861, 0.033746, 0.014673
0, 0.000000, 0.000176, 0.000000
10000, 0.001240, 0.022110, 0.001181
20000, 0.002687, 0.018414, 0.002533
30000, 0.004243, 0.029660, 0.003940
40000, 0.005662, 0.025693, 0.005424
50000, 0.007769, 0.031394, 0.006975
60000, 0.009027, 0.028021, 0.008516
70000, 0.010715, 0.034553, 0.009961
80000, 0.012495, 0.027893, 0.011813
90000, 0.013762, 0.030432, 0.013202
100000, 0.015282, 0.028634, 0.014734
0, 0.000000, 0.000182, 0.000000
10000, 0.001261, 0.021487, 0.001175
20000, 0.002917, 0.026555, 0.002536
30000, 0.004176, 0.030339, 0.003945
40000, 0.005913, 0.029103, 0.005395
50000, 0.007357, 0.029432, 0.006859
60000, 0.008848, 0.031168, 0.008559
70000, 0.031462, 0.031012, 0.009950
80000, 0.012538, 0.025825, 0.011472
90000, 0.013772, 0.029888, 0.013270
100000, 0.015296, 0.029262, 0.014585
0, 0.000000, 0.000172, 0.000000
10000, 0.001346, 0.030906, 0.001393
20000, 0.003397, 0.028111, 0.002992
30000, 0.004969, 0.031972, 0.004799
40000, 0.021896, 0.045213, 0.007409
50000, 0.009992, 0.035672, 0.009258
60000, 0.011750, 0.039709, 0.010787
70000, 0.011378, 0.026606, 0.010525
80000, 0.013865, 0.028706, 0.011668
90000, 0.013898, 0.031956, 0.013249
100000, 0.015827, 0.029797, 0.014752
0, 0.000000, 0.000174, 0.000001
10000, 0.001248, 0.024003, 0.001169
20000, 0.002685, 0.014008, 0.002528
30000, 0.004222, 0.027202, 0.003933
40000, 0.006068, 0.031061, 0.005381
50000, 0.007333, 0.027740, 0.006867
60000, 0.008902, 0.034661, 0.008392
70000, 0.010710, 0.024338, 0.009944
80000, 0.013080, 0.032587, 0.011698
90000, 0.013811, 0.032550, 0.013167
100000, 0.015881, 0.032204, 0.015012
0, 0.000000, 0.000368, 0.000001
10000, 0.005612, 0.082527, 0.005187
20000, 0.008624, 0.068935, 0.004998
30000, 0.005084, 0.027587, 0.003948
40000, 0.005679, 0.030491, 0.005432
50000, 0.007300, 0.040620, 0.006889
60000, 0.009094, 0.031270, 0.008379
70000, 0.010848, 0.026491, 0.010080
80000, 0.012201, 0.032392, 0.011570
90000, 0.013631, 0.035312, 0.013248
100000, 0.038011, 0.034021, 0.014820
0, 0.000001, 0.000158, 0.000000
10000, 0.001289, 0.023455, 0.001173
20000, 0.002806, 0.022655, 0.002525
30000, 0.004227, 0.028948, 0.004035
40000, 0.005948, 0.026653, 0.005390
50000, 0.020288, 0.040704, 0.007006
60000, 0.009092, 0.031695, 0.008582
70000, 0.010494, 0.028998, 0.009993
80000, 0.012034, 0.034443, 0.011458
90000, 0.013994, 0.027794, 0.013125
100000, 0.015691, 0.030361, 0.014788
0, 0.000000, 0.000181, 0.000000
10000, 0.001280, 0.027817, 0.001172
20000, 0.002676, 0.023376, 0.002526
30000, 0.019960, 0.097489, 0.007307
40000, 0.010742, 0.042083, 0.007893
50000, 0.017757, 0.030326, 0.006892
60000, 0.009324, 0.032636, 0.008610
70000, 0.010483, 0.033927, 0.009965
80000, 0.021755, 0.033925, 0.011516
90000, 0.013886, 0.033275, 0.013089
100000, 0.015173, 0.030589, 0.014940
0, 0.000000, 0.000182, 0.000000
10000, 0.001261, 0.014929, 0.001177
20000, 0.002996, 0.026923, 0.002528
30000, 0.004135, 0.020477, 0.004017
40000, 0.005762, 0.022399, 0.005505
50000, 0.007270, 0.028787, 0.007011
60000, 0.009007, 0.029072, 0.008382
70000, 0.010573, 0.036209, 0.010226
80000, 0.012469, 0.036450, 0.011826
90000, 0.013765, 0.029534, 0.013205
100000, 0.023788, 0.030181, 0.014769
0, 0.000000, 0.000163, 0.000000
10000, 0.001272, 0.017030, 0.001174
20000, 0.011709, 0.089033, 0.005781
30000, 0.009521, 0.051974, 0.009223
40000, 0.013342, 0.060163, 0.011725
50000, 0.011435, 0.052398, 0.010866
60000, 0.014001, 0.042069, 0.012245
70000, 0.011149, 0.032586, 0.010821
80000, 0.033888, 0.032233, 0.011520
90000, 0.013837, 0.035554, 0.013178
100000, 0.015651, 0.034034, 0.014911
0, 0.000000, 0.000182, 0.000001
10000, 0.001251, 0.028678, 0.001170
20000, 0.002654, 0.027033, 0.002844
30000, 0.004202, 0.027567, 0.004101
40000, 0.023290, 0.045711, 0.006966
50000, 0.008689, 0.036311, 0.007308
60000, 0.009081, 0.025346, 0.008406
70000, 0.010513, 0.029048, 0.009954
80000, 0.012259, 0.033695, 0.011622
90000, 0.013721, 0.033363, 0.013358
100000, 0.015665, 0.034093, 0.014654
0, 0.000000, 0.000175, 0.000000
10000, 0.001272, 0.020383, 0.001171
20000, 0.002659, 0.024692, 0.002522
30000, 0.004278, 0.024709, 0.003943
40000, 0.005692, 0.025887, 0.005379
50000, 0.007438, 0.027472, 0.006868
60000, 0.009002, 0.022484, 0.008440
70000, 0.010452, 0.038605, 0.010031
80000, 0.012469, 0.029918, 0.011582
90000, 0.013617, 0.029424, 0.013194
100000, 0.015704, 0.036333, 0.014789
0, 0.000000, 0.000181, 0.000000
10000, 0.001553, 0.021323, 0.001173
20000, 0.002662, 0.031086, 0.002527
30000, 0.004150, 0.021115, 0.003947
40000, 0.005677, 0.026267, 0.005386
50000, 0.025999, 0.035083, 0.006856
60000, 0.008772, 0.023779, 0.008452
70000, 0.010505, 0.032440, 0.010072
80000, 0.033139, 0.033557, 0.011460
90000, 0.014176, 0.026064, 0.013119
100000, 0.015540, 0.030260, 0.014517
0, 0.000001, 0.000178, 0.000001
10000, 0.005459, 0.114318, 0.005068
20000, 0.011834, 0.108154, 0.007555
30000, 0.012344, 0.046780, 0.006414
40000, 0.023166, 0.054806, 0.010004
50000, 0.013713, 0.053088, 0.010873
60000, 0.013903, 0.047900, 0.012872
70000, 0.012135, 0.033139, 0.010161
80000, 0.012306, 0.028601, 0.011459
90000, 0.025796, 0.033801, 0.013022
100000, 0.015494, 0.031928, 0.014602
0, 0.000000, 0.000158, 0.000000
10000, 0.001317, 0.024000, 0.001169
20000, 0.002824, 0.022249, 0.002564
30000, 0.004197, 0.026809, 0.003935
40000, 0.005764, 0.027367, 0.005390
50000, 0.007744, 0.026729, 0.007055
60000, 0.008794, 0.021063, 0.008374
70000, 0.010619, 0.025443, 0.010042
80000, 0.012225, 0.030483, 0.011688
90000, 0.014029, 0.031107, 0.013037
100000, 0.015433, 0.033225, 0.014708
0, 0.000000, 0.000181, 0.000000
10000, 0.001244, 0.031871, 0.001173
20000, 0.002692, 0.023766, 0.002528
30000, 0.004191, 0.031861, 0.003990
40000, 0.005756, 0.030963, 0.005382
50000, 0.007660, 0.028018, 0.006895
60000, 0.008894, 0.022033, 0.008371
70000, 0.032156, 0.027879, 0.010100
80000, 0.012310, 0.029819, 0.011560
90000, 0.014006, 0.031234, 0.013140
100000, 0.015675, 0.027843, 0.014839
0, 0.000000, 0.000160, 0.000001
10000, 0.001260, 0.018788, 0.001173
20000, 0.003574, 0.030555, 0.004226
30000, 0.006962, 0.054107, 0.006374
40000, 0.009521, 0.056216, 0.008875
50000, 0.012277, 0.038494, 0.011452
60000, 0.014387, 0.038161, 0.010607
70000, 0.010395, 0.018334, 0.009949
80000, 0.012199, 0.037298, 0.011561
90000, 0.013756, 0.033797, 0.013275
100000, 0.015494, 0.029230, 0.014869
0, 0.000000, 0.000190, 0.000000
