Size, Seq, Par, Libc
2000000, 0.368052, 0.942700, 0.362436
3000000, 0.611946, 1.126229, 0.582287
4000000, 0.893949, 1.179424, 0.734208
5000000, 1.087275, 1.394321, 0.970904
6000000, 1.368705, 1.489964, 1.137307
7000000, 1.479870, 1.454379, 1.299003
8000000, 1.773204, 1.769247, 1.802049
9000000, 1.899824, 1.852456, 1.675026
10000000, 2.092939, 1.940639, 1.919323
11000000, 2.451137, 2.133692, 2.132874
12000000, 2.575274, 2.271047, 2.332882
13000000, 2.904293, 2.599675, 2.579241
14000000, 3.050344, 2.529323, 2.789508
15000000, 3.289398, 2.922490, 3.200235
0, 0.000000, 0.000821, 0.000001
1000000, 0.191760, 0.793322, 0.167530
2000000, 0.408359, 0.900766, 0.349740
3000000, 0.692017, 1.199725, 0.532080
4000000, 0.853695, 1.256691, 0.804444
5000000, 1.050942, 1.568245, 0.926888
6000000, 1.199000, 1.526005, 1.062268
7000000, 1.461963, 1.572596, 1.550674
8000000, 2.115004, 1.957553, 1.526671
9000000, 1.971621, 1.865371, 1.784877
10000000, 2.182349, 2.053691, 1.924653
11000000, 2.413870, 2.104871, 2.167055
12000000, 2.633639, 2.319288, 2.375514
13000000, 2.915222, 2.530437, 2.577560
14000000, 3.059888, 2.806423, 2.865475
15000000, 3.332749, 2.931817, 3.006171
0, 0.000000, 0.000752, 0.000001
1000000, 0.181978, 0.883578, 0.172693
2000000, 0.397222, 0.905396, 0.373416
3000000, 0.637335, 0.967188, 0.555281
4000000, 0.816987, 1.187555, 0.721999
5000000, 1.080053, 1.214732, 0.910210
6000000, 1.288672, 1.441860, 1.122832
7000000, 1.498073, 1.672064, 1.346146
8000000, 1.721702, 1.755115, 1.545891
9000000, 1.930286, 1.888857, 1.742820
10000000, 2.109508, 1.936494, 1.916920
11000000, 2.252112, 2.349720, 2.028054
12000000, 2.495522, 2.881660, 2.309934
13000000, 2.822013, 2.573313, 2.592908
14000000, 3.075399, 2.747089, 2.791762
15000000, 3.277208, 3.042945, 3.096622
0, 0.000000, 0.000606, 0.000000
1000000, 0.201076, 0.893931, 0.200204
2000000, 0.399305, 0.841014, 0.346462
3000000, 0.575465, 1.188658, 0.535788
4000000, 0.842294, 1.073707, 0.722965
5000000, 1.050951, 1.289770, 0.943870
6000000, 1.286935, 1.703026, 1.197321
7000000, 1.642733, 1.640293, 1.366163
8000000, 1.738398, 1.828231, 1.509197
9000000, 1.879010, 1.944491, 1.733617
10000000, 2.176511, 2.148380, 1.888809
11000000, 2.351133, 2.265636, 2.123576
12000000, 2.716385, 2.534366, 2.511592
13000000, 3.044007, 2.630708, 2.889570
14000000, 3.466955, 2.932012, 3.466308
15000000, 3.656921, 2.847622, 3.121119
0, 0.000000, 0.000764, 0.000001
1000000, 0.193321, 0.845558, 0.160781
2000000, 0.383932, 1.396551, 0.359867
3000000, 0.599614, 0.909452, 0.543977
4000000, 0.856480, 1.122564, 0.747044
5000000, 1.209007, 1.291891, 0.939329
6000000, 1.258922, 1.639561, 1.102095
7000000, 1.473536, 1.464278, 1.323893
8000000, 1.685953, 1.669719, 1.503139
9000000, 1.910991, 1.777375, 1.691146
10000000, 2.107372, 1.867189, 1.883434
11000000, 2.385377, 2.135645, 2.109364
12000000, 2.583009, 2.279636, 2.313051
13000000, 2.903156, 2.403189, 2.535397
14000000, 3.060063, 2.624865, 2.747620
15000000, 3.328898, 2.626196, 2.948892
